               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.032189,           0.0083293,                   0,             0.95653,             0.93481,             0.96007,             0.63878,            0.025477,           0.0040349,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.032011,           0.0084993,                   0,             0.95544,             0.94195,              0.9624,              0.6483,            0.024713,            0.003996,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.032335,           0.0084259,                   0,             0.95537,             0.94973,             0.96517,             0.64968,            0.024752,           0.0040508,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.032503,           0.0084816,                   0,              0.9601,             0.94541,             0.96489,             0.65594,            0.024421,           0.0040166,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,             0.03229,           0.0081657,                   0,             0.95825,             0.94245,             0.96499,             0.65506,            0.024403,           0.0039812,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.032272,           0.0083971,                   0,             0.95829,             0.94338,             0.96413,             0.65956,            0.024122,           0.0039611,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.032469,            0.008188,                   0,             0.96248,             0.94442,              0.9629,             0.65107,            0.024359,           0.0039899,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.032364,           0.0084445,                   0,             0.96906,             0.94227,             0.96431,             0.65323,            0.024394,           0.0039748,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,             0.03193,           0.0084077,                   0,             0.96314,             0.94335,             0.96557,             0.66078,             0.02389,           0.0039831,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,             0.03239,           0.0083289,                   0,             0.97014,             0.94336,             0.96684,             0.66353,            0.023767,           0.0039365,                   0,               0.006,               0.006,               0.006
                 152,            0.032064,           0.0085429,                   0,             0.96445,             0.95071,             0.96662,             0.66569,            0.023757,           0.0039406,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.031872,           0.0082752,                   0,             0.96227,             0.94794,             0.96582,             0.66465,            0.023707,           0.0039186,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.031289,           0.0082022,                   0,              0.9607,             0.95175,             0.96516,             0.66729,            0.023494,           0.0038624,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.031557,           0.0081957,                   0,             0.96559,             0.94371,             0.96693,              0.6686,            0.023481,           0.0038552,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.031582,            0.008232,                   0,             0.96365,             0.94973,             0.96722,             0.66681,            0.023524,           0.0038833,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,              0.0308,           0.0082253,                   0,             0.96954,             0.94653,             0.96547,             0.67165,            0.023291,           0.0038433,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,             0.03117,           0.0083527,                   0,             0.96176,             0.94407,              0.9649,             0.67394,            0.023283,           0.0038483,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.030829,           0.0083356,                   0,             0.96174,             0.95217,             0.96604,             0.67517,             0.02312,           0.0038334,                   0,           0.0056653,           0.0056653,           0.0056653
